02636,STANDARD,CENTERVILLE,MA,41.639999,-70.339996
02239,UNIQUE,COM/ENERGY SERVICES,MA,42.360001,-71.099998
02239,UNIQUE,CAMBRIDGE,MA,42.360001,-71.099998
02216,UNIQUE,JOHN HANCOCK P O BOX 192,MA,42.340000,-71.070000
02216,UNIQUE,BOSTON,MA,42.340000,-71.070000
02207,UNIQUE,BOSTON,MA,42.349998,-71.050003
02207,UNIQUE,BELL ATLANTIC TELEPHONE CO,MA,42.349998,-71.050003
02031,STANDARD,EAST MANSFIELD,MA,42.020000,-71.169998
02031,STANDARD,E MANSFIELD,MA,42.020000,-71.169998
02031,STANDARD,MANSFIELD,MA,42.020000,-71.169998
01808,UNIQUE,AT&T,MA,42.500000,-71.120003
01808,UNIQUE,WOBURN,MA,42.500000,-71.120003
01806,UNIQUE,WOBURN,MA,42.470001,-71.150002
01806,UNIQUE,AT&T,MA,42.470001,-71.150002
01195,STANDARD,SPRINGFIELD,MA,42.099998,-72.580002
01195,STANDARD,SPRINGFIELD BMC,MA,42.099998,-72.580002
01133,UNIQUE,MONARCH LIFE INS CO,MA,42.099998,-72.589996
01133,UNIQUE,SPRINGFIELD,MA,42.099998,-72.589996
01098,STANDARD,WORTHINGTON,MA,42.410000,-72.930000
01270,STANDARD,EAST WINDSOR,MA,42.509998,-73.040001
01270,STANDARD,WINDSOR,MA,42.509998,-73.040001
01267,STANDARD,WMSTOWN,MA,42.700001,-73.199997
01267,STANDARD,WILLIAMSTN,MA,42.700001,-73.199997
01267,STANDARD,WILLIAMSTOWN,MA,42.700001,-73.199997
01096,STANDARD,SOUTH CHESTERFIELD,MA,42.400002,-72.709999
01096,STANDARD,S CHESTERFIELD,MA,42.400002,-72.709999
01096,STANDARD,WILLIAMSBURG,MA,42.400002,-72.709999
01095,STANDARD,WILBRAHAM,MA,42.130001,-72.430000
01094,INVALID,WHEELWRIGHT,MA,42.349998,-72.139999
01093,INVALID,WHATELY,MA,42.450001,-72.610001
01266,STANDARD,WEST STOCKBRIDGE CENTER,MA,42.310001,-73.389999
01266,STANDARD,INTERLAKEN,MA,42.310001,-73.389999
01266,STANDARD,W STOCKBRIDGE,MA,42.310001,-73.389999
01266,STANDARD,ALFORD,MA,42.310001,-73.389999
01266,STANDARD,WEST STOCKBRIDGE,MA,42.310001,-73.389999
01090,INVALID,W SPRINGFIELD,MA,42.119999,-72.650002
01090,INVALID,WEST SPRINGFIELD,MA,42.119999,-72.650002
01089,STANDARD,WEST SPRINGFLD,MA,42.119999,-72.650002
